Target,Model,Family,Input_Block,Benchmark_Source,Primary_Metric,Mean_Primary,Std_Primary,Method_Group
TENSILE,Graph_GCN_Fusion_graph_only,advanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.3061915370179618,0.0811323213681216,Plain_GNN
TENSILE,DescriptorProcess_BayesianRidgeRegressor,descriptor_linear,DescriptorProcess,from_scratch_descriptor_process,R2,0.2588403991305837,0.064655606587749,DescriptorProcess_OtherML
TENSILE,DescriptorProcess_ElasticNetRegressor,descriptor_linear,DescriptorProcess,from_scratch_descriptor_process,R2,0.2518155743722218,0.0709758648640451,DescriptorProcess_OtherML
TENSILE,DescriptorProcess_RidgeRegressor,descriptor_linear,DescriptorProcess,from_scratch_descriptor_process,R2,0.2430840649910507,0.0793309859801087,DescriptorProcess_OtherML
Tg,DescriptorProcess_TabICLRegressor,descriptor_tabicl,DescriptorProcess,from_scratch_descriptor_process,R2,0.903343784513556,0.0104568163677741,DescriptorProcess_TabICL
Tg,DescriptorProcess_TabPFNRegressor,descriptor_tabpfn,DescriptorProcess,from_scratch_descriptor_process,R2,0.891930743141954,0.0087676849109046,DescriptorProcess_TabPFN
Tg,DescriptorProcess_LightGBMRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.8815912459209138,0.0265540922835235,DescriptorProcess_Boosting
Tg,DescriptorProcess_XGBoostRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.8779606975151489,0.0155736622920284,DescriptorProcess_Boosting
Tg,DescriptorProcess_RandomForestRegressor,descriptor_tree,DescriptorProcess,from_scratch_descriptor_process,R2,0.8762146737247747,0.0236818226463591,DescriptorProcess_Bagging
Tg,DescriptorProcess_GradientBoostingRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.8748795228854626,0.0189760987184491,DescriptorProcess_Boosting
Tg,DescriptorProcess_CatBoostRegressor,descriptor_boosting,DescriptorProcess,from_scratch_descriptor_process,R2,0.8729094064749352,0.0177580362582763,DescriptorProcess_Boosting
Tg,Graph_GINE_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8640764193663102,0.025085952293482,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_attention_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8635159844211453,0.0249903808360603,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8632292000589089,0.0231273004020298,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_concat_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.862980097503263,0.0216147992323069,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_attention_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8629080133575633,0.0208053882883434,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8628968991563994,0.0253453121833088,GraphDescriptor_Fusion
