Flame_retardant_AdditionAmount(wt%),FR_B01[C-P],FR_PW5,EP_wt_fraction,Curing_agent_AdditionAmount(wt%),CURING_nCp,Q_thermal,FR_MATS1i,CURING_Mor27p,FR_Eta_betaP_A,FR_F01[C-P],FR_MATS7i,FR_MATS1m,FR_Eta_D_beta,FR_SpDiam_EA(ri),CURING_TDB05r,FR_MATS2m,FR_MATS8m,FR_SHED_AL,FR_JGI3,FR_MATS4i,CURING_Mor09p,FR_AVS_X,FR_SpMin1_Bh(m),FR_P_VSA_LogP_3,CURING_TDB06e,CURING_MaxaasC,FR_GATS4p,FR_P_VSA_charge_8,FR_ChiA_X,FR_GATS2i,CURING_Mor10u,T_max,EEW,FR_QED,FR_IC3,CURING_Mor13p,FR_SpDiam_AEA(ed),FR_MAXDP,FR_GATS8i,FR_GATS7p,FR_IC1,CURING_SpPosA_B(e),FR_JGI5,FR_P_VSA_charge_2,FR_SpPosA_X,FR_GATS1m,CURING_minaasC,FR_stdMW,CURING_Mor26p,FR_SpMax_B(p),FR_SHED_DP,FR_GATS3m,FR_SpMax3_Bh(m),FR_MaxaasC,FR_CATS2D_07_LL,FR_MATS4p,FR_MATS2p,FR_TPSA_efficiency,CURING_Eta_epsi_2,CURING_RBF,FR_CATS2D_06_AL,FR_MATS3p,FR_Eta_FL_A,FR_nLevel10,FR_MCD,FR_stdP,FR_SpMaxA_EA(dm),FR_CATS2D_08_AA,FR_GATS6m,CURING_SPAM
-6.213746008082959,-0.3550003868312753,0.0,-0.5912732083496945,0.0,0.0,0.0,0.0,0.0,0.36847583393514016,-0.5100366406451375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29722299070970487,0.0,0.4361701526987766,0.0,0.30766900420345333,0.0,0.0,0.0,0.0,0.0,-0.24585311942903545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32209450209241763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.4230433698020607,0.0,0.0,0.0,-0.2998478776054805,0.0,0.0,0.0,0.0,-0.7346795027413796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3613697783400438,0.0,0.0,0.0,0.0,-0.7335169505547577,-0.4738277442646514,0.0,0.0,0.0,-0.5993791536429274,0.0,0.0,0.0,0.0,-0.7920365185125215,0.0,0.0,0.0,0.0,0.0,-0.31946178460685437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30024263285547015
-7.11041686911557,0.0,0.0,-0.7788464383998621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3307653455728532,0.0,0.16882472056275333,0.0,0.0,0.0,0.0,0.0,-0.3712349425719569,0.0,0.0,0.0,0.0,0.0,0.0,0.1346796800474972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766076597405524,0.0,0.18686171299818702,0.0,0.0,0.4336784427456856,0.0,0.31037349561090005,0.0,0.0,0.0,0.0,0.0,0.0
0.7952525497335651,0.0,0.0,0.22007887984718325,0.16468194661259838,0.0,0.17631680859244964,0.0,0.0,0.0,0.6349980063486312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16378112525698246,0.0,0.0,0.0,0.0,0.0,0.0,0.19582218192463682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08498677009417444,0.0,0.0,0.0,0.0,0.09109970293607389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23324135806154195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.063923121106697,0.0,0.0,0.3625247272477273,0.0,0.0,0.0,0.0,0.0,0.5506595436292117,0.9946914900994787,0.0,0.0,0.9369313359650102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251098972998141,0.0,0.0,0.0,0.2401032718116413,0.0,0.0,0.37491375862667814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20254699833361922,0.0,0.0,0.0,0.32170354245096067,0.0,0.0,0.0
0.0,-0.6589852578373758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0073181034884904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4195635317770836,0.0,0.0,0.0,0.0,0.0,0.0,-0.34957696818418826,0.0,-0.5124267486954228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3978933581186297,0.0,-0.4918817462523253,-0.5268669562018689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29128566564976666,-0.4240988895627922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.453490946414389,0.0,0.0,0.1392479303935776,0.10110714664885424,0.0,0.18927690918131468,0.0,0.0,0.0,0.5760562961922671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1685261092365502,0.0,0.0,0.0,0.0,0.0,0.0,0.12984078171038566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057285111808404565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14568445069736044,0.0,0.0,0.0,0.0,0.0,0.07156753018137496,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15662338152542477,0.23958067608497366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2538679077055318,0.0,0.0,0.0,0.0,0.5169923181161464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511056512311054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2927080680473426,0.3496559971435721,0.0,0.19958120743192218,0.33445784590587324,0.0,0.0,0.0,0.0,0.29390375009693465,0.0,0.0,0.0
-2.265104551270944,0.0,0.0,0.0,0.0,0.0,0.16087898795543373,0.0,0.0,0.7676416946889814,0.6374993676554558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16890466692571882,0.0,0.4424118339463538,0.0,0.22100167430303852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24041544586965474,0.0,0.0,0.0,0.17402460246680995,0.0,0.0,0.0,0.21812454729702238,0.0,0.0,0.0
-1.109915907214835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5650929036689954,0.0,0.0,0.0,0.0,0.0,0.0,0.2656800443263521,0.0,0.36510616515331995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4028216896257258,0.0,0.17355521766338167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3102114023117425,0.0,0.0,0.0,0.3463136102640211,0.0,0.0,0.0,0.0,0.0,-0.8611666925941208,0.0,0.42415055684778624,0.0,0.0,0.0
